,name,description
87,ARBOR Technology,"ARBOR is a global provider of dedicated industrial IoT computing and mobility solutions. ARBOR offers comprehensive system integration, customer-centric design services, embedded systems, automation products, and global logistics support."
88,Arrcus,"Arrcus is a hyperscale networking software company and a leader in core, edge, and multi-cloud routing and switching infrastructure. The company is headquartered in San Jose, California with offices in Bangalore, India, and Tokyo, Japan."
89,Arrow Electronics,"Arrow Electronics guides innovation forward for over 210,000 leading technology manufacturers and service providers. With 2022 sales of $37 billion, we develop technology solutions that improve business and daily life."
90,Arrow Intelligent Solutions,"Arrow’s Intelligent Solutions business delivers application-specific compute solutions globally and at scale through ​
strategic collaborations with an ecosystem of over 600 top-tier technology providers, enabling customers to get to market faster​."
91,ASROCK RACK INC.,"ASRock Rack is a leading server hardware vendor, offering server boards and barebone server systems. We deliver scalable and highly reliable products for a wide range of applications, including edge systems, platforms for GPUs, and AI accelerators."
92,"Astera Labs, Inc.","Our PCIe, CXL, & Ethernet semiconductor-based connectivity solutions are purpose-built to unleash the full potential of accelerated computing at cloud-scale. We are an innovation leader of products that are customizable, interoperable, and reliable."
93,"Aurora Operations, Inc.","Aurora (Nasdaq: AUR) is delivering the benefits of self-driving technology safely, quickly, and broadly. Aurora’s flagship product, the Aurora Driver, is a L4 self-driving system designed to operate trucks to passenger vehicles."
94,"AVerMedia Technologies, Inc.","As a customer-driven solution provider, AVerMedia develops reliable and flexible Edge AI embedded computing solutions to benefit customers in addressing industrial AI applications worldwide, such as Smart Retail, Smart Security, and Smart Factory."
95,AWL,"AWL, the market leader in AI and Deep Learning-based video analytics providing real-time insight and intelligent data for the industry. Headquartered in Tokyo, AWL is successfully scaling in Japan and ready to expand."
96,Axiomtek,"Axiomtek is a leading design and manufacturing company in the industrial computer and embedded field. Since our inception, Axiomtek has successfully gained worldwide recognition for its innovative designs and outstanding customer satisfaction."
97,Balbix,Balbix is an AI-powered Cyber Risk Management platform that enables organizations to quantify and quickly burn down their cyber risk.
98,Basler AG,"Basler is an internationally leading manufacturer of high-quality cameras and accessories for applications in factory automation, medicine, traffic and a variety of other markets."
99,Beamr,"Beamr (Nasdaq: BMR) is a world leader in content adaptive video solutions. Backed by 53 patents, and winner of the 2021 Technology and Engineering Emmy® award. Beamr's technology enables up to a 50% reduction in video bitrate with guaranteed quality."
100,Bifrost,"Bifrost creates scalable high-fidelity 3D worlds utilizing Generative AI and procedural generation for Robotics, Gaming, Entertainment/Media , National Security and more."
101,Blackshark.ai,"Blackshark.ai is at the forefront of geospatial intelligence, leveraging cutting-edge AI and satellite technology for object detection, simulation, and creating a 3D digital twin of Earth, empowering industries with actionable insights."
102,Bloombase,"Bloombase is the intelligent storage firewall company providing AI-accelerated, high-bandwidth, low-latency data cloud encryption security using PQC technologies from edge computing, physical/virtual datacenters, through HCI and CDI, to the cloud."
103,Boston Limited,"Boston Limited provides HPC solutions in Servers, Storage, AI and Quantum Computing, empowering our customers to thrive in the digital age."
104,Brev.dev,"Brev makes Nvidia GPUs easy to use. Work with any Jupyter Notebook, NGC Catalog resource, or model for fine-tuning & inference in 1-click. Use our cloud or yours from the same interface."
105,Bria,"A cutting-edge Visual Generative AI platform for commercial use. Designed to empower organizations' builders, including engineers, developers, and AI teams, offers SOTA technology for responsible and safe AI usage, complete with full liability."
106,Bulk Data Centers,"Bulk Data Centers is the ultimate sustainable destination for Generative AI, HPC and Supercomputing workloads. Delivering power, scale & speed. Our Nordic facilities support large deployments within 3mths, growing to 500MW + of power in the future."
107,Cambridge Computer,"For over 30 years, Cambridge Computer has evolved a business model that provides a unique value proposition for technical leaders and decision makers across verticals. Cambridge is NVIDIA's Partner of the Year for Higher Ed three years running."
108,Canonical Group Limited,"Canonical is the publisher of Ubuntu, the OS for most public cloud workloads and emerging categories of smart gateways, self-driving cars and advanced robots. Canonical provides enterprise security, support and services to commercial users of Ubuntu."
109,Carahsoft,"Carahsoft Technology Corp. is The Trusted Government IT Solutions Provider®, supporting Public Sector organizations across Federal, State and Local Government agencies and Education and Healthcare markets."
110,CarbonSilicon AI,Carbon-Silicon AI aims to be a leading provider of artificial intelligence infrastructure and services in the life sciences industry. Our DrugFlow is the world leading all-in-one AIDD platform built on top of AIGC and Pre-Trained Large models.
111,Centific,"Centific is a leading global provider of AI-driven platforms and real-world data solutions. Offerings include a range of comprehensive services and solutions spanning data and AI enablement, intelligent platform services, and software engineering."
112,Cerbrec,Cerbrec Graphbook is the deep learning framework that brings visibility and intelligent guidance to researchers focusing on model architectures.
113,Certara,"Certara accelerates medicines using proprietary biosimulation software, technology and services that transform drug discovery and development."
114,Chroma,"Chroma stands as a global leader in Automatic Testing Equipment, and specializes in temperature forcing technologies. We are committed to providing optimal solutions for demanding test challenges posed by power-hungry IC devices in various industries"
115,Cirrascale Cloud Services,Cirrascale is a specialized cloud and managed services company helping startups to Fortune 500s deploy the latest compute and high-speed storage at scale. Our AI Innovation Cloud helps companies test and deploy on today's leading AI accelerators.
116,Classiq,"Classiq Technologies, the leading quantum software company democratizes access to quantum computing, providing an all-encompassing software platform (IDE, compiler and OS) as a single point of entry to quantum, from algorithm design to execution."
117,Clear ML,"ClearML is the leading open source platform for unleashing AI & ML in the enterprise, and is used by more than 1,300 enterprise customers to develop a highly repeatable process for their end-to-end AI/ML model lifecycle. Visit us at https://clear.ml."
118,Cogniteam,"The Cloud Robotics Platform
A unified way to develop, deploy, and manage robots and fleets."
119,Colfax,"As an Elite NVIDIA Partner, we have established a reputation for solving the most complex problems and securing outstanding results for enterprises, national labs, universities, public agencies and start-ups."
120,Common Sense Machines (CSM),"The demand for 3D content is skyrocketing, but the 3D production pipeline is time and labour-intensive. CSM solves this with an AI tool that lets anyone generate game-engine ready 3D objects/characters from multi-modal inputs (text, image, sketch)"
121,Concurrent Real-Time,"Concurrent Real-Time is a global provider of real-time Linux computer hardware and software solutions for mission-critical applications. These solutions enable customers to minimize risk, reduce costs, speed time-to-market and maximize profits."
122,Connect Tech,"As NVIDIA's largest Jetson Elite Partner, Connect Tech has a wide array of solutions for the Jetson platform including edge devices, carrier boards, thermal solutions, and more. In-house Jetson experts provide rapid turn-around of custom designs."
123,Covalent,"Covalent Cloud is a serverless compute engine for scaling workloads from your laptop to the cloud, entirely in Python and without managing any of the infrastructure - enabling simple on-demand access to NVIDIA H100s, A100s & more."
124,"Cyxtera Technologies, Inc.",Evoque-Cyxtera specializes in delivering a comprehensive suite of best-in-class colocation and data center services for customers seeking private AI.
125,D3 Engineering,"D3 is a 100% U.S.-based company that develops end-to-end solutions integrating camera and radar sensors, connectivity, custom Jetson baseboards, and AI to deliver advanced perception for performance-critical applications."
126,Dataloop AI,"Dataloop is a data-centric AI platform, offers advanced data management, annotation, and automation pipelines. Integrating GenAI and LLMs, it enhances AI accuracy and efficiency across industries, streamlining AI development and deployment."
127,Data Monsters,"Data Monsters is an AI Experience Lab. We help product managers implement AI into their products or build AI-based products. 
The company is the Elite NVIDIA SDP partner and masters NVIDIA AI platform, NVIDIA Riva, Metropolis, and Omniverse."
128,DataRobot,"DataRobot is the leader in Value-Driven AI, a unique and collaborative approach to generative and predictive AI that combines an open platform, deep expertise and broad use-case experience to improve how organizations optimize their business."
129,Deci AI,"Deci empowers AI teams to build ultra efficient Generative AI and Computer Vision models, easily deployed across various environments. With Deci teams accelerate inference performance, shorten development cycles and reduce inference costs."
130,Dedicated Computing,"Dedicated Computing designs and manufactures high-performing computing products.  Based on COTS technologies, our products are designed for long life/reliability and supported by a service offering to deliver lifecycle and remote management services."
131,Deepgram,"Deepgram is a foundational AI company developing the essential building blocks for Language AI. We give any developer access to the fastest, most accurate transcription and language understanding models with just an API call."
132,deepset GmbH,"deepset has built the world’s first full-stack AI application platform.
It helps AI teams deliver real-world applications faster and more reliably.
The company was founded in 2018, and also developed Haystack - an open source LLM framework."
133,Digital Realty,Digital Realty enables its customers with the connected data communities that matter to them with a global data center footprint of 300+ facilities in 50+ metros across 27 countries on six continents.
134,DKube,"DKube provides a ""private"" AI platform to train, fine-tune and serve custom foundation AI models for consumable end applications. As official VMware and Nutanix solutions partners we bring AI to where the data resides: on-prem, hybrid or multi-cloud."
135,e-con Systems Inc.,"Established in 2003, e-con Systems has grown into a leading OEM camera manufacturer with a wide global footprint. We provide end-to-end camera solutions like MIPI camera modules, GMSL cameras, USB cameras, time-of-flight cameras, and more."
136,"EdgeImpulse, Inc.","Edge Impulse enables smarter edge AI products via a robust machine learning platform. Its automations and low-code capabilities facilitate dataset and algorithm generation, seamlessly optimizing and deploying to any device, from MCUs to GPUs."
137,Edgeless Systems,"Edgeless Systems is a cybersecurity company that makes the public cloud the safest place for sensitive data. With world-leading open-source solutions for confidential computing, and takes security to an unprecedented level."
138,EIZO Rugged Solutions,EIZO Rugged Solutions is a cutting-edge engineering firm specializing in the design and production of ruggedized high-performance embedded video graphics and AI-accelerated GPGPU processing solutions for mission-critical applications.
139,Equinix,"Equinix enables enterprises to deploy AI infrastructure, scale into new markets and drive actionable insights at the edge. With 250+ data centers worldwide companies can utilize Platform Equinix to implement their digital-first strategies."
140,Fingermark,At Fingermark we believe the key to success within QSR is the ability to provide speed of service for a better customer experience. We are dedicated to developing advanced AI and computer vision technology solutions for leading QSR’s globally.
141,Flywheel,"Flywheel, a medical imaging data management and AI development platform, fuels healthcare innovation by simplifying cohorting, curation, and model training, transforming imaging data into analysis-ready datasets to optimize data value and efficiency."
142,FORECR,"FORECR is a technology company specializing in AI Based Industrial-Grade computing solutions. Our product range includes carrier boards, industrial BOX PCs, and ruggedized military & railway-grade computers compatible with NVIDIA Jetson™ processors."
143,Foretellix,"Foretellix is the leading provider of safety-driven verification & validation solutions for Automated Driving Systems and ADAS. We help automotive, trucking & mining customers ensure safety, reduce development costs, and accelerate time-to-market."
144,FortyGuard,"FortyGuard leverages AI to provide environmental analysis for outdoor temperature challenges and application. We provide high-resolution temperature data, enabling the creation of detailed heatmaps, analytics, and insights to support cooling cities."
145,Foundries.io,"Foundries.io™ provides a cloud-native DevOps platform for embedded secure devices. OEMs no longer need to create and manage their own Linux-based DevOps products and can accelerate time-to-market and lower costs for IoT devices, apps and services."
146,FriendliAI,"FriendliAI specializes in generative AI infrastructure, offering a cost-effective solution for serving models. Powered by Friendli engine, it optimizes Inference of aI model & provides 7.5x cost savings, 6x higher throughput, and 4x lower latency."
147,Frore Systems,"Frore Systems is the developer of breakthrough thermal technology for electronic and consumer devices. The company’s active cooling chip, the AirJet® Mini, is integrated into devices to remove heat silently, resulting in major performance gains."
148,"Future Tech Enterprise, Inc.","Future Tech is an award-winning IT solutions provider supporting industry-leading, global Fortune 500 companies in aerospace, defense, & commercial to maximize their full range of IT investments from IT Lifecycle Mangement to Enterprise AI."
149,Getty Images,"Getty Images is a preeminent global visual content creator & marketplace. Through its Getty Images, iStock & Unsplash brands, it is the first-place people turn to discover and license powerful visual content from the world’s best content creators."
150,Github,"GitHub is the AI-powered developer company. We make it easier for developers to be developers: to work together, to solve challenging problems, to create the future of software and make a difference in the world."
151,Glean,"Glean searches across all your company’s apps to help you find exactly what you need. Powered by next-generation AI, Glean understands who you are, to deliver answers to your questions or pinpoint the people who can help."
152,Government Acquisitions,"Government Acquisitions, Inc. (GAI) provides practical, end-to-end IT solutions to the federal government. GAI works side-by-side with your agency and OEM partners to modernize, optimize, and deliver unparalleled mission support."
153,Gradient,"Gradient’s platform powers the future of AI systems. Gradient is uniquely designed to help enterprise businesses' build high-performance, cost-effective custom AI systems— based on an ensemble of small expert models purpose-built for each use case."
154,Gretel Labs Inc.,Gretel is a multimodal synthetic data platform that leverages generative AI and privacy-enhancing technologies. We enable developers to create high-quality replicas of sensitive data that are private by design.
155,H2O,"H2O.ai is a leading AI platform for smarter decision-making & transformative outcomes. Our visionary AI technologies democratize data science & machine learning for all, enabling AI model building, deployment, & operation at scale."
156,Hammerspace,"Hammerspace delivers the world’s first and only solution to connect global users with their data and applications on any vendor’s data center storage or public cloud services, including AWS, Google Cloud, Microsoft Azure and Seagate Lyve Cloud."
157,Hanwha Vision,"Hanwha offers comprehensive video surveillance solutions that support 8K resolution, video/audio analytics, multi sensor technology. Intelligent surveillance solutions are used globally, securing people, property and data across industries."
158,HEAVY.AI,"HEAVY.AI is the fastest analytics and location intelligence platform, leveraging the massive parallelism of GPUs to provide interactive SQL, visual analytics, and AI and machine learning capabilities over multi-billion record datasets."
159,Helm.ai,"Helm.ai is building an AI-first, hardware agnostic and vision first software solution for autonomous driving that is designed to seamlessly scale from high-end ADAS L2/L3 mass production programs all the way to large scale L4 deployments and robotics"
160,Holo-Light,"Hololight is the leading specialist in XR streaming solutions for industrial enterprises. The company's enterprise streaming platform for spatial computing, Hololight Hub, enables organizations to manage and distribute AR and VR applications."
161,HOMEE AI,HOMEE AI is an international Spatial Computing company that leverages generative 3D models and AI with spatial understanding capabilities to drive the digital transformation of the vertical industries with NVIDIA.
162,IIT Madras,"IITM Brain Centre images whole human brains at cellular resolution, generating petabyte sized visual datasets that offer transformative insights into human brain development and diseases"
163,InnerEye,"InnerEye combines human expertise with AI, creating Minded A.I. By transferring human intelligence to AI models, InnerEye supercharges AI applicability, reliability, and decision-making, enhancing organizational performance and trust."
164,Innoactive,"Innoactive Portal is the leading enterprise XR streaming platform. No SDK integration required. Global coverage (98 cloud locations), on-premises option, Unity, Unreal Engine, Omniverse and more. Leveraging NVIDIA CloudXR. All VR headsets supported."
165,Innodisk,"Innodisk, rooted in industrial-grade memory and storage, is now committing to the development of AIoT solutions by integrating its software and hardware technologies and joining hands with global partners to build an intelligent world."
166,InstaDeep,InstaDeep is a pioneer in decision-making AI driven by human values & the belief that AI can help everyone. We specialise in applying Reinforcement Learning to tackle complex challenges & empower businesses to realise the benefits of AI technologies.
167,Intelligent Haptronic Solutions (IHS),"IHS is a robotics/XR tech firm focused on R&D of top-tier Haptic platform solution for realistic touch in virtual world. We've successfully commercialized the next-gen endoscopy surgical simulator, now in tens of hospitals & training centers."
168,International Computer Concepts (ICC),"For over 25 years International Computer Concepts (ICC) has been a leading specialized technology systems integrator with broad expertise in standard and customized servers, workstations, storage, and networking for a wide variety of industries."
169,Inworld,"Inworld AI is the leading Character Engine for powering AI NPCs in gaming, entertainment, and interactive experiences. Inworld powers multimodal expression of personality and contextual awareness to orchestrate character performance and behavior."
170,IronYun,"IronYun® is a global AI vision leader that partners with customers around the globe in nearly every industry to enhance security, safety, health, and operational efficiency through cutting-edge technology solutions."
171,Kinetica,"Kinetica is a global leader and innovator in real-time, large-scale analytics. Our groundbreaking vectorized GPU powered engine can execute time series, spatial, graph and vector similarity search queries, in SQL, on petabytes of data in seconds."
172,Kinetic Vision,Kinetic Vision is an NVIDIA Elite Partner integrating and developing digital twin and AI solutions to unlock potential in the enterprise. We develop USD-based digital twin tools and workflows for the largest brands in the world.
173,Klleon,"Klleon creates lifelike digital human from just a facial snapshot and 30 seconds of voice. Features include rapid-response digital human animations and optimized GPT processing, ensuring efficiency in both time and cost."
174,Kuaizi.ai,"Kuaizi is a leading video-first  AIGC application platform for Enterprise in content commerce serving over 3700 customers. We redefine commercial creative and content workflow for content commerce brands leveraging GenAI , data, and automation."
175,Lanner Electronics Inc.,"Lanner provides NVIDIA-certified Edge AI Servers and Computers that leverage the extensive range of NVIDIA GPU-accelerated software available for real-time intelligent decision making. For more information, please visit https://www.lannerinc.com"
176,LatentAI Inc.,Latent AI provides trusted solutions for edge AI optimization and delivery that simplify adoption and success.
177,Leia Inc.,LeiaSR™ is the only technology delivering immersive experiences to consumers on any device today. Check out LeiaPix.com to create spatial content using Depth (Gen) AI. And visit Acer SpatialLabs™ solutions powered by LeiaSR www.spatiallabs.acer.com/
178,Leopard Imaging,"Leopard Imaging is a global leader in camera design and manufacturing in automotive, robotics, drones, AgTech, IoT, and automation. Leopard Imaging is an elite partner of NVIDIA and the first imaging partner that joined the NVIDIA Jetson platform."
179,Lexmark,"Lexmark Optra Solutions combine edge and cloud to help customers quickly harness the value of AI through GPU-accelerated artificial neural networks that realize business outcomes, including operational efficiency, revenue growth, and customer value."
180,Lightning AI,"Lightning AI, from the creators of PyTorch Lightning, enables ML engineers, researchers, and developers to build, train, and deploy AI products on the cloud or on-premises."
181,LILT,"LILT is the leading Generative AI solution for enterprise content translation and creation. The LILT Contextual AI Platform enables global enterprises to start, scale, and optimize their global content, product, communication, and support operations."
182,Linker Vision,"Linker VisionAI Platform Offers a streamlined, end-to-end AI solution, enhancing visual intelligence through seamless hardware integration and a focus on continuous learning and data-centric design."
183,Liqid,"Experience new heights in AI, HPC, and graphics computing with Liqid: Equip a single server with up to 20 NVIDIA GPUs. Efficiently achieve unprecedented GPU density for today's demanding workload needs."
184,Living Optics,"Living Optics has created a hyperspectral imaging system that captures data inaccessible to the human eye and conventional cameras and delivers information in an affordable, portable solution for diverse industrial and consumer applications."
185,L&T Technology Services Limited (LTTS),"LTTS leads globally in Engineering and R&D, with landmark creations like the Autonomous Welding Robot and Solar 'Connectivity' Drone. Our engineering excellence impacts life daily, with specializations in 5G, AI, Collaborative Robots"
186,"Lucid USA, Inc.",Lucid’s mission is to inspire the adoption of sustainable energy by creating advanced technologies and the most captivating luxury electric vehicles centered around the human experience.
187,Luminar,"Luminar built a new type of LiDAR from the chip-level up that unlocks advanced safety and autonomy for automakers. Our core technology is what separates us from the rest of the field. Simply put, we deliver and we won’t relent to reach our mission."
188,Luminary Cloud,"Luminary Cloud is the world's first true CAE SaaS platform to enable Realtime Engineering, delivering insights and analysis in minutes. This modern platform extends access and collaboration to explore new ideas that were simply not possible before."
189,Lynx Analytics,"Lynx Analytics develops Gen AI solutions for pharma, retail, and the education sectors. Most solutions use LynxKite, our Graph AI product (accelerated by NVIDIA), and LynxScribe, our framework for enterprise-grade Gen AI applications."
190,Magic Leap,"Magic Leap creates the most immersive AR technology on the market, allowing professionals to interact with enterprise AR solutions integrated in their real workplace in real time."
191,Mark III Systems,"Mark III Systems, an NPN Elite Partner and 2023 Healthcare Partner of the Year, partners with enterprises, research institutions, and universities to design, deploy, and co-pilot their AI, HPC, and Digital Twin CoEs, with its unique full stack team."
192,Marvik,"Marvik is a hands-on AI consulting and development company. We specialize in Generative AI, Computer Vision, Natural Language Processing and Predictive Analytics."
193,Medical IP,"We specializes in the application of AI-based segmentation technology to various medical images such as CT, MRI, X-ray.
It detects, extracts and quantifies anatomical structures, organs and lesions, going beyond simple diagnostic assistance."
194,Medtronic,"As the global leader in healthcare technology, we have deep clinical knowledge developing life-sustaining medical technologies. Our innovation continues with new technology that enables developers to train AI models on existing medical hardware."
195,Mercedes-Benz,"Mercedes Benz AG is part of the Mercedes Benz Group AG and is responsible for the global business of Mercedes Benz Cars and Mercedes Benz Vans. The company focuses on development, production & sales of passenger cars, vans & vehicle-related services."
196,Meshcapade GmbH,"Meshcapade, a German startup since 2018, specializes in 3D generative models for digital humans. As a spin-off of the Max-Planck Institute for Intelligent Systems, it serves 100+ customers, including 7 of the top 10 NASDAQ companies."
197,METASON,Metason will demonstrate a City-scale Dynamic Digital Twin of Hong Kong by converting petabyte-scale datasets to OpenUSD and utilising a two-tiered approach with customised Postgres/POSTGIS DB and Nucleus servers as the data repository.
198,"Microway, Inc.","Microway builds GPU clusters, servers, workstations designed for bleeding-edge performance--at the intersection of AI & HPC. We're also one of the largest providers of NVIDIA DGX (DGX H100, A100, DGX POD) in North America. Serving users since 1982."
199,Mistral AI,"Mistral AI aims to develop new models of generative artificial intelligence for companies, combining scientific excellence, an open-source approach and a socially responsible vision of technology."
200,"Neousys Technology America, Inc.","Neousys designs and manufactures industrial computers and rugged GPU computing platform featuring exclusive mechanical and thermal designs to enable AI-powered for automation, robotics, autonomy and intelligent video analytics applications."
201,NetApp,"As the data authority on hybrid cloud, NetApp delivers AI solutions that remove bottlenecks at the edge, core, and cloud to enable more efficient data collection, accelerated AI workloads, and smoother cloud integration."
202,Network Optix,"Network Optix (Nx) is a powerhouse in video software development, driven by a mission to empower the creation of intelligent video-based solutions and products capable of converting video into actionable data."
203,Nexcom,"Founded in 1992, NEXCOM makes the difference by utilizing its industrial computing experience and providing exceptional levels of customer service. NEXCOM has enabled its customers to win key projects in a diverse range of industries."
204,NODAR,"NODAR, leader in stereo vision, provides Hammerhead: ultra-precise, long-range 3D sensing, cost-effective, excels in detecting objects down to 10cm at 150m, robust in harsh conditions."
205,Nota AI,"Nota AI™ is a tech startup focusing on optimizing AI models with our hardware-aware AI model optimization platform, NetsPresso®, and enabling diverse AI solutions, including the intelligent transportation system and driver monitoring system."
206,Numurus,"Numurus helps companies reduce the cost, time, and risks of bringing robotic and edge-AI applications to market with its NEPI software platform, a full-featured toolkit for robotic and edge-AI automation solution developers."
207,"Nuro, Inc.","Nuro is a leading autonomous vehicle company. Its core technology is the Nuro Driver™, an AI-first, L4 autonomous driving system. Nuro’s AV technology is proven on roads and has broad applicability across both commercial and consumer use cases."
208,Oasis Robotics,"Oasa, with a lawn robot as its first product, aims to boost home automation by offering cost-effective robotics. The team comprises the co-founder of Narwal, engineers from robotics industry and students from top universities."
209,"OmniVision Technologies, Inc","OMNIVISION is a global fabless semiconductor organization that develops advanced digital imaging, analog, and touch & display solutions for multiple applications and industries, including security and surveillance; automotive; computing; and medical."
210,ONYX Healthcare Inc.,"ONYX Healthcare is a subsidiary of ASUS with 100% focus on servicing medical device industry, and an ISO13485 certified device manufacturer that specializes in custom designing and manufacturing 4th edition UL/EN60601 certified medical pc solutions."
211,Opaque,Opaque provides privacy-enhancing technologies for data and AI. Large amounts of data remain unusable because of privacy restrictions. Opaque unlocks the value of confidential data by enabling analytics and AI on encrypted datasets
212,OpenZeka,"OpenZeka, as the distributor for NVIDIA EMBEDDED in the MEA Region, provides comprehensive AI solutions utilizing hardware, software, training, and engineering services, optimizing NVIDIA's potential for businesses across the region."
213,Orbbec,"Orbbec's mission is to popularize 3D vision technology for the 3D world, create a full-stack platform for industry solution developers and use in-house R&D and manufacturing to build smart products with industry-leading performance and value."
214,Outerbounds,"Outerbounds provides an integrated, developer-friendly platform for building ML, AI, and data-intensive systems. The platform is powered by open-source Metaflow, a full stack ML/AI framework started at Netflix."
215,Oxford Nanopore Technologies Inc.,"Oxford Nanopore Technologies’ goal is to bring the widest benefits to society through analysis of anything, by anyone, anywhere. Nanopore-based sequencing technology is developed for real-time, accurate, accessible, and scalable analysis of DNA & RNA"
216,Pasqal,"PASQAL is a pioneering company in quantum computing, founded in 2019. It is the European leader in quantum technology and aims to rise to the rank of world leader, notably by developing a 1,000 qubit quantum computer in the short term."
217,Pegatron,"Drawing on accumulated experience in server design and manufacturing, PEGATRON now focuses on developing a variety of state-of-the-art servers that meet the requirements of present and future Cloud Service Providers' data centers."
218,Penguin Computing,"With over 25 years of experience in HPC platforms, Penguin Solutions has designed, built, deployed, and manages some of the most powerful AI supercomputers in the world. Today we are managing over 50,000 NVIDIA® GPUs for AI training."
219,Phison Electronic Corp.,"The leading PCIe Gen5 ecosystem provider with flash controllers and signal integrity ICs to fuel the next generation of datacenters. In 2024, we introduced aiDAPTIV+, an innovative hybrid LLM training system allowing businesses to conquer 70b models."
220,Polestar,"Polestar is the electric performance brand from Sweden. Its cars are available online in 27 markets globally across North America, Europe and Asia Pacific. Polestar 3 is the SUV for the electric age, featuring NVIDIA DRIVE core computing."
221,Primer AI,Primer builds and deploys mission-ready AI and NLP applications on large volumes of unstructured data. Our technology is deployed by the U.S. Government and Fortune 100 companies to help analysts and operators extract insight from massive datasets.
222,"ProHawk Technology Group, Inc.","ProHawk AI is a computer vision company with patented algorithms for real-time, pixel-by-pixel video restoration. ProHawk AI overcomes all environmental obstacles, allowing unmatched detection of objects and threats at the decisive moment in time."
223,PureWeb,"PureWeb Reality™ is the leading real-time streaming platform for interactive 3D experiences built on Unreal Engine and Unity. Our platform enables simple, scalable, and secure distribution of these applications to any device, anywhere in the world."
224,Qt Group,Qt Group is a global software company that offers cross-platform solutions for the entire software development lifecycle from UI design and development to quality management and deployment.
225,QuantexAI,"QuantexAI: Empower ERP users with chat-based AI forecasting. Seamless integration, data-driven insights, and democratized data science – all without the need for technical expertise."
226,Rafay,Rafay’s Cloud Automation Platform provides a solution for platform teams that wish to build automated self-service cloud infrastructure workflows that enable anyone who depends on rapid access to cloud infrastructure to move faster safely.
227,Rain,"At Rain AI, we’re creating a future with abundant and scalable artificial intelligence by building the world’s most cost and energy efficient hardware for AI."
228,RAVE Computer,"RAVE Computer provides purpose-built compute solutions to empower companies to overcome challenges through innovation. Our Michigan-based woman-owned small business includes a state-of-the-art manufacturing area, R&D lab, and dedicated XR Zone."
229,Recursion,"Recursion is a clinical-stage TechBio company decoding biology by integrating technological innovations across biology, chemistry, automation, data science and engineering to industrialize drug discovery."
230,Relation Therapeutics,"Relation is an end-to-end biotech developing transformational medicines, with technology at its core"
231,Rendered.ai,Rendered.ai is a Platform as a Service for synthetic computer vision data that enables data scientists to overcome the costs and challenges of acquiring and using real data for training machine learning and artificial intelligence systems.
232,Rescale,"Rescale offers cloud-based high-performance computing, empowering engineers while giving IT security and control. The Rescale platform simplifies harnessing advanced software and computing architectures for cutting-edge simulation and AI innovation."
233,RidgeRun,"US software company developing custom solutions for audio and video processing. Our expertise includes Linux, drivers, GStreamer, and computer vision algorithms on custom architectures. RidgeRun.ai is a subdivision focused on AI and Machine learning."
234,Roboflow,"Roboflow has everything you need to build and deploy computer vision models. Connect Roboflow at any step in your pipeline with APIs and SDKs, or use the end-to-end interface to automate the entire process from image to inference."
235,RoboSense,"Founded in 2014, RoboSense (2498.HK) stands as a global leader in the LiDAR and perception solutions market. Our mission is to make the world safer and smarter by endowing automobiles and robots with perception capabilities superior to human eyes."
236,Sapia.ai,"Founded by a former CHRO, Sapia.ai is at the forefront of AI-fueled disruption across all aspects of HR. Trusted by some of the world’s most respected consumer brands, Sapia.ai identifies undiscovered talent in a truly unique way – by looking beyond the resume to the true human potential of every applicant. The product leverages the transformative power of machine learning to solve age-old business problems like high turnover while also assuring a fair and unbiased experience that naturally brings diversity to the forefront. The core component of the company’s innovation is its Smart Chat(™) which empowers and gives agency to hiring managers and TA professionals while delivering an experience that everyone can trust and love. Coming next? SAIGE (TM) - the fairest, most accurate and explainable interviewer in the world. Built on a foundation of ethical and explainable AI."
237,Scan Computers Ltd.,"Scan provides end-to-end AI solutions from proof of concept to development, training and inferencing. As an NVIDIA Elite Partner and award-winning system integrator we have delivered thousands of AI projects across a wide range of industries."
238,SCHUNK,"SCHUNK builds the future of industrial automation and manufacturing. A global innovation leader, we develop and digitalize products, services, and technologies to make industrial processes more efficient, transparent, and sustainable."
239,SecEdge,"SECeDGE™ is a leading digital security SaaS platform for IoT and Edge devices, providing advanced security solutions for Edge AI, Compute, Control, and CloudSIM applications."
240,"Securiti, Inc.","“Securiti is the pioneer of the Data Command Center, a centralized platform that enables the safe use of data and GenAI.”"
241,Seeed Studio,"Seeed Studio is the IoT hardware partner for global developers since 2008, providing sensing, networking, and edge computing hardware. Delivering modern AI with real-world data, Seeed accelerates ever-growing AI applications with global ecosystems."
242,Seyond,"Seyond™ is a leading global provider of image-grade LiDAR technology, powering a safer, smarter and more mobile world across the automotive, intelligent transportation, robotics and industrial automation sectors. See Smarter™."
243,Shakudo,"Shakudo is the Operating System for Data and AI Stacks. Our platform supports 100+ open source stack components to choose from, so teams can quickly set up, customize, and evolve their stacks using the most advanced data tools in the industry."
244,Shuffll,"Shuffll is a cutting-edge virtual studio for video production that enables companies to easily transform ideas into videos. By leveraging the power of Gen AI, It creates compelling copy, amazing motion art, and engaging storylines within minutes."
245,Shutterstock,"Shutterstock exists to empower the world to tell their stories by bridging the gap between idea and execution.  We connect customers to the content they need, wherever they are, so they can create, build and share their next big idea."
